Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,4400.0,4410.0,4360.0,4410.0,3772.725830078125,41714100
2020-01-03,4420.0,4440.0,4390.0,4420.0,3781.281005859375,82898300
2020-01-06,4360.0,4390.0,4320.0,4370.0,3738.506591796875,44225100
2020-01-07,4410.0,4410.0,4380.0,4400.0,3764.171142578125,103948100
2020-01-08,4380.0,4400.0,4340.0,4380.0,3747.061279296875,171751200
2020-01-09,4400.0,4420.0,4370.0,4400.0,3764.171142578125,72072000
2020-01-10,4430.0,4430.0,4390.0,4410.0,3772.725830078125,124809200
2020-01-13,4430.0,4510.0,4420.0,4510.0,3858.275390625,111351400
2020-01-14,4540.0,4600.0,4520.0,4570.0,3909.605224609375,158414200
2020-01-15,4570.0,4580.0,4530.0,4580.0,3918.159912109375,102566700
2020-01-16,4570.0,4590.0,4510.0,4570.0,3909.605224609375,133986100
2020-01-17,4620.0,4640.0,4600.0,4630.0,3960.9345703125,121175500
2020-01-20,4690.0,4690.0,4630.0,4660.0,3986.59912109375,81837500
2020-01-21,4670.0,4680.0,4640.0,4670.0,3995.154052734375,73839600
2020-01-22,4680.0,4710.0,4670.0,4710.0,4029.373291015625,82370500
2020-01-23,4720.0,4760.0,4690.0,4740.0,4055.038818359375,139861200
2020-01-24,4730.0,4750.0,4680.0,4740.0,4055.038818359375,96017400
2020-01-27,4700.0,4700.0,4640.0,4650.0,3978.04443359375,93704600
2020-01-28,4580.0,4640.0,4570.0,4620.0,3952.3798828125,95394600
2020-01-29,4620.0,4660.0,4600.0,4620.0,3952.3798828125,194871800
2020-01-30,4700.0,4700.0,4580.0,4580.0,3918.159912109375,87726300
2020-01-31,4570.0,4580.0,4460.0,4460.0,3815.500732421875,137055500
2020-02-03,4460.0,4490.0,4450.0,4460.0,3815.500732421875,131584600
2020-02-04,4690.0,4690.0,4520.0,4560.0,3901.050537109375,112377400
2020-02-05,4570.0,4580.0,4510.0,4560.0,3901.050537109375,91267300
2020-02-06,4590.0,4590.0,4530.0,4550.0,3892.495361328125,94855500
2020-02-07,4580.0,4580.0,4540.0,4550.0,3892.495361328125,133042500
2020-02-10,4500.0,4530.0,4400.0,4500.0,3849.720458984375,170890600
2020-02-11,4540.0,4540.0,4480.0,4510.0,3858.275390625,85150100
2020-02-12,4520.0,4560.0,4520.0,4530.0,3875.385498046875,130150400
2020-02-13,4580.0,4590.0,4540.0,4570.0,3909.605224609375,79710700
2020-02-14,4530.0,4590.0,4530.0,4550.0,3892.495361328125,127004900
2020-02-17,4480.0,4540.0,4470.0,4470.0,3824.0556640625,119759900
2020-02-18,4470.0,4500.0,4400.0,4400.0,3764.171142578125,88694500
2020-02-19,4460.0,4480.0,4450.0,4480.0,3832.61083984375,100810700
2020-02-20,4520.0,4580.0,4510.0,4560.0,3901.050537109375,98180400
2020-02-21,4560.0,4560.0,4510.0,4510.0,3858.275390625,106960700
2020-02-24,4540.0,4540.0,4470.0,4490.0,3841.16552734375,102908000
2020-02-25,4460.0,4550.0,4460.0,4500.0,3849.720458984375,113929600
2020-02-26,4500.0,4510.0,4470.0,4480.0,3832.61083984375,149197600
2020-02-27,4380.0,4380.0,4120.0,4130.0,3658.0419921875,207157400
2020-02-28,3990.0,4190.0,3910.0,4190.0,3711.18505859375,191962700
2020-03-02,4190.0,4200.0,3980.0,3980.0,3525.18310546875,187659200
2020-03-03,4050.0,4180.0,4000.0,4100.0,3631.469970703125,198413400
2020-03-04,4140.0,4240.0,4130.0,4220.0,3737.7568359375,116305200
2020-03-05,4290.0,4300.0,4130.0,4150.0,3675.756103515625,133588200
2020-03-06,4040.0,4050.0,4000.0,4010.0,3551.754638671875,159391900
2020-03-09,3900.0,3950.0,3750.0,3750.0,3321.46630859375,149028700
